ID,Study,Age,Sex,SUIS_1,SUIS_2,SUIS_3,SUIS_4,SUIS_5,SUIS_6,SUIS_7,SUIS_8,SUIS_9,SUIS_10,SUIS_11,SUIS_12,PSIQ_1,PSIQ_2,PSIQ_3,PSIQ_4,PSIQ_5,PSIQ_6,PSIQ_7,PSIQ_8,PSIQ_9,PSIQ_10,PSIQ_11,PSIQ_12,PSIQ_13,PSIQ_14,PSIQ_15,PSIQ_16,PSIQ_17,PSIQ_18,PSIQ_19,PSIQ_20,PSIQ_21,PSIQ_22,PSIQ_23,PSIQ_24,PSIQ_25,PSIQ_26,PSIQ_27,PSIQ_28,PSIQ_29,PSIQ_30,PSIQ_31,PSIQ_32,PSIQ_33,PSIQ_34,PSIQ_35
1800239503,2,28,Male,1,1,2,3,4,3,4,2,4,4,1,3,6,5,6,6,5,4,5,6,5,4,3,3,5,4,5,2,3,4,5,5,4,4,5,5,4,5,6,5,4,5,6,5,5,3,4
1800194047,2,21,Male,1,1,5,3,5,1,3,1,3,3,4,3,5,5,5,6,6,6,6,5,5,5,5,3,2,3,2,1,4,2,4,3,5,5,5,5,5,4,5,2,5,5,6,5,3,6,3
1799690428,2,23,Male,3,4,4,4,4,3,3,2,4,3,5,4,6,5,6,6,5,5,5,5,6,6,5,4,4,5,5,6,5,4,5,4,5,6,6,6,5,6,6,4,5,5,6,4,5,5,5
1799663399,2,27,Female,2,5,4,5,4,5,4,4,4,5,5,5,6,6,6,6,5,5,4,5,4,6,4,5,6,6,5,6,6,6,6,6,5,6,6,6,6,6,6,5,5,6,6,6,5,6,5
1799659174,2,25,Male,2,1,5,5,5,1,5,5,5,4,5,5,5,6,7,5,6,3,4,5,6,4,3,2,6,6,6,5,6,4,6,4,5,5,3,6,5,4,7,5,3,5,6,6,6,6,6
1799428801,2,20,Female,2,2,4,5,4,2,4,5,4,4,3,3,7,6,6,7,7,6,6,7,5,5,5,6,6,6,5,4,5,5,5,5,6,6,7,6,6,7,6,6,6,6,6,6,6,6,6
1799398782,2,19,Male,4,3,3,5,5,1,5,1,5,3,4,5,7,6,7,6,6,2,5,6,4,3,1,1,1,1,1,4,6,6,4,1,7,6,6,7,6,6,2,7,3,4,1,1,1,1,4
1799046493,2,21,Female,4,2,1,5,4,1,5,5,5,4,1,1,7,7,6,7,6,5,7,6,5,7,1,6,2,3,3,2,6,7,7,3,7,7,7,7,7,7,7,5,7,7,7,6,1,2,2
1798961531,2,20,Female,1,1,5,4,3,4,5,5,3,2,4,4,6,5,4,6,6,4,5,5,5,6,4,2,5,4,4,5,5,4,6,5,6,7,7,1,5,4,2,4,5,5,3,3,6,7,7
1798864638,2,20,Female,1,3,1,4,3,3,1,2,2,1,1,1,7,6,7,7,7,5,7,7,7,6,5,6,7,7,5,6,7,7,7,7,7,6,7,7,7,7,7,6,5,7,7,7,6,7,7
1798784803,2,22,Female,3,5,5,5,4,1,3,3,3,5,3,1,7,5,6,7,5,4,5,5,4,6,5,4,5,5,6,3,4,4,3,3,6,6,6,5,5,6,6,6,4,7,6,6,4,5,4
1798761411,2,21,Male,5,4,5,3,5,2,5,4,4,3,5,3,5,6,6,6,5,7,6,7,7,7,6,7,7,7,7,6,6,5,7,6,6,6,6,5,6,6,7,7,6,7,7,6,5,6,5
1798686112,2,41,Female,3,2,5,3,5,3,2,5,5,5,3,4,5,6,5,6,6,3,5,3,4,5,2,1,2,1,1,1,2,3,1,1,4,3,3,5,3,4,5,5,4,3,5,4,6,4,5
1798668188,2,20,Male,3,5,5,1,5,2,5,5,4,4,5,5,7,5,6,7,6,6,6,6,5,5,4,3,4,5,5,3,6,5,6,2,4,5,6,6,6,3,5,1,6,6,6,6,6,5,6
1798648917,2,30,Female,4,5,5,5,4,1,1,3,5,2,5,5,7,7,7,7,6,4,6,6,6,7,5,6,5,5,5,6,6,6,6,6,6,6,6,7,7,7,5,5,6,6,6,5,5,5,5
1798621654,2,40,Male,4,5,2,4,4,2,2,2,4,3,1,3,2,5,5,6,5,4,6,7,4,2,3,6,5,5,3,5,3,2,7,2,2,6,5,6,3,6,2,6,7,5,6,6,6,7,6
1798606705,2,28,Male,5,4,5,5,4,1,1,1,5,5,4,5,7,7,7,7,7,7,7,7,7,7,4,1,7,7,7,5,7,7,1,7,7,7,7,7,7,6,6,6,7,1,4,5,4,2,4
1798604437,2,22,Male,2,1,1,4,4,2,3,1,3,2,1,1,5,5,6,6,5,4,4,5,4,4,3,1,3,3,3,2,5,4,6,3,5,4,3,3,5,5,4,2,4,5,5,6,7,6,3
1798597782,2,35,Female,3,2,3,3,3,1,5,5,5,3,3,1,5,4,6,6,4,3,6,4,5,6,6,6,6,6,5,5,6,4,6,5,5,4,6,5,4,5,6,5,4,5,5,6,6,6,5
1798573433,2,20,Male,5,5,4,5,3,2,5,5,5,5,5,4,7,6,6,7,6,5,4,5,4,5,6,4,5,5,6,6,6,4,4,5,5,6,6,7,7,7,6,6,7,6,5,6,6,6,6
