RespondentID,Study,Age,Sex,EBRIQ01,EBRIQ02,EBRIQ03,EBRIQ04,EBRIQ05,EBRIQ06,EBRIQ07,SUIS01,SUIS02,SUIS03,SUIS04,SUIS05,SUIS06,SUIS07,SUIS08,SUIS09,SUIS10,SUIS11,SUIS12,PSIQ01,PSIQ02,PSIQ03,PSIQ04,PSIQ05,PSIQ06,PSIQ07,PSIQ08,PSIQ09,PSIQ10,PSIQ11,PSIQ12,PSIQ13,PSIQ14,PSIQ15,PSIQ16,PSIQ17,PSIQ18,PSIQ19,PSIQ20,PSIQ21,PSIQ22,PSIQ23,PSIQ24,PSIQ25,PSIQ26,PSIQ27,PSIQ28,PSIQ29,PSIQ30,PSIQ31,PSIQ32,PSIQ33,PSIQ34,PSIQ35
1300354500,1,40.6,Female,1,2,3,3,3,3,2,5,2,3,5,3,2,5,2,4,3,1,2,11,9,10,11,9,10,9,9,9,7,6,9,8,11,9,1,8,11,2,7,10,11,11,11,11,9,8,7,1,9,6,10,4,1,8
1294302746,1,20.6,Male,2,2,4,4,1,4,4,2,5,2,2,4,1,1,4,5,5,2,5,11,5,9,11,9,11,11,11,11,9,4,4,11,11,8,8,11,10,9,10,11,11,11,11,11,8,9,1,6,11,11,11,10,2,2
1295935373,1,20.7,Female,1,3,3,2,4,2,3,3,1,5,4,4,4,1,5,5,5,1,5,11,4,11,9,5,5,5,5,5,5,1,7,1,9,7,11,8,11,1,6,8,7,6,4,6,8,8,1,8,8,10,10,10,10,10
1295646154,1,19.2,Male,1,1,2,3,1,1,2,4,3,3,4,5,1,4,3,5,5,3,2,11,8,10,11,10,5,5,3,5,6,3,2,3,8,2,1,3,4,5,3,10,9,9,10,9,9,7,1,8,7,8,5,2,5,5
1307906557,1,19.7,Female,2,3,3,4,3,4,4,2,2,5,5,3,2,5,3,4,4,2,4,11,7,8,10,9,6,8,3,9,4,1,3,9,7,4,1,8,7,6,1,3,4,9,10,8,3,10,9,2,7,8,3,9,1,7
1284864257,1,23.2,Female,1,1,3,3,1,2,1,4,3,5,3,3,2,1,3,2,2,5,4,11,9,10,7,10,5,6,3,10,5,1,8,10,8,5,1,11,5,11,1,9,9,9,9,9,10,11,5,4,10,7,6,4,8,3
1291147370,1,18.7,Female,3,2,4,4,2,3,2,5,2,5,3,4,2,3,5,2,4,3,3,11,7,10,11,8,9,10,7,11,7,1,3,11,3,6,1,11,4,5,2,11,11,11,11,9,9,4,8,6,8,9,9,8,8,8
1289367133,1,20,Female,1,3,2,4,2,2,3,3,1,5,5,4,3,5,3,4,4,5,1,11,10,11,11,11,9,10,10,8,9,8,1,1,1,1,3,8,9,8,6,10,9,8,9,9,10,11,7,10,9,11,11,6,9,10
1291531544,1,21.1,Male,5,3,4,3,3,4,4,2,3,5,5,5,1,1,4,1,1,5,4,11,9,10,10,8,9,10,8,5,9,7,9,2,3,3,1,8,10,7,10,11,9,11,11,10,10,3,1,4,9,7,9,9,10,3
1303993753,1,36.2,Female,3,4,4,4,3,3,3,1,1,3,5,3,3,4,3,3,3,3,4,9,8,6,6,6,11,11,11,11,11,10,1,6,1,3,8,11,10,1,10,11,11,11,11,11,10,10,9,10,10,11,11,11,11,11
1302178747,1,53,Female,3,4,4,3,4,3,4,2,1,2,3,4,4,5,4,3,4,4,3,11,11,11,11,11,5,5,6,5,4,3,3,4,5,5,5,5,5,2,5,3,5,4,5,3,5,4,2,4,4,9,11,11,1,11
1294060523,1,19.7,Female,1,1,4,3,1,3,1,3,2,4,5,4,1,5,5,4,3,5,5,10,10,9,11,9,6,7,5,3,7,1,3,1,6,7,1,7,3,2,1,1,7,8,4,8,7,4,1,3,9,10,9,5,2,4
1302017003,1,19.9,Female,2,3,2,2,2,2,2,1,4,4,3,4,3,3,5,2,3,4,4,9,10,9,10,11,8,2,1,7,4,1,5,1,5,3,1,9,7,8,6,8,6,5,7,1,8,6,10,8,10,9,8,2,11,6
1287826890,1,22,Female,1,3,3,3,3,3,3,3,3,4,3,4,4,1,1,1,1,1,1,11,10,10,11,11,3,4,4,4,4,10,9,9,8,8,7,6,5,7,5,8,7,7,8,7,11,11,1,1,11,1,11,10,11,10
1289052258,1,44.6,Female,1,1,3,3,3,3,2,5,1,5,5,4,3,3,3,3,4,4,5,11,11,11,11,11,8,9,10,9,9,3,9,10,11,11,8,10,11,11,8,11,10,10,4,4,9,2,9,5,7,3,3,2,3,2
1287108496,1,27.3,Female,3,3,4,2,3,2,2,5,1,5,4,3,1,2,5,3,3,3,4,7,10,8,11,11,3,1,7,1,5,3,9,7,8,8,8,8,5,7,5,10,10,10,9,7,6,4,10,7,6,1,1,1,1,1
1285091929,1,20.3,Female,3,2,4,3,1,3,3,4,2,5,5,4,2,4,5,4,3,4,5,11,9,11,11,11,2,2,3,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,2,2,1,2,1,2
1295422366,1,21.4,Male,1,2,3,3,1,2,4,4,1,3,5,5,1,2,1,3,3,4,4,10,10,10,10,10,10,10,10,10,10,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,4,4,4,4,4,7,7,7,7,7
1284476446,1,18.4,Female,3,2,5,4,2,4,3,4,2,5,5,4,2,5,4,4,5,4,5,10,2,3,11,8,7,6,2,8,5,2,1,11,8,5,1,11,11,3,6,8,3,9,2,9,7,10,1,4,10,7,10,9,5,8
1288274230,1,24.3,Female,2,2,3,3,1,2,2,3,1,5,3,2,1,3,5,3,2,4,3,11,3,10,11,8,6,11,9,6,4,4,8,2,7,10,3,4,3,1,2,7,11,5,11,10,11,11,9,11,6,11,6,5,11,3
1374158937,1,58.5,Female,4,5,5,4,4,4,4,4,2,4,4,5,1,5,2,1,4,2,4,10,11,11,7,10,5,6,4,5,4,10,10,9,11,10,10,9,11,11,11,4,10,6,9,4,11,11,11,10,11,2,1,1,2,7
1296657987,1,28.9,Female,4,3,3,3,4,2,3,4,4,5,4,5,1,2,4,4,5,4,4,10,7,9,5,9,9,6,5,2,2,1,9,2,9,9,7,2,8,10,2,10,2,4,9,10,10,9,2,10,10,2,2,9,5,2
1293139953,1,19.2,Male,3,4,2,2,1,1,3,1,3,5,4,4,3,4,4,5,5,2,4,11,10,11,11,11,10,10,9,4,2,2,1,5,2,9,7,10,10,7,10,9,4,4,8,8,3,8,3,3,9,4,2,3,8,2
1303968027,1,20.4,Female,2,2,3,3,2,2,3,4,1,4,5,5,2,2,1,4,5,4,4,10,3,6,11,8,4,2,3,1,1,1,2,3,4,2,1,3,1,1,2,8,8,4,7,10,8,5,1,4,10,9,8,1,11,3
1304114161,1,20.5,Female,2,2,2,3,2,2,3,4,3,4,4,4,2,4,4,4,4,5,4,9,8,9,6,10,9,3,5,11,9,1,9,3,10,3,6,11,11,11,6,10,3,1,1,10,2,2,10,10,10,10,10,6,10,10
